"processid","processcode","processname","description","departmentid","sequenceno","ismandatory","isapprovalrequired","isclientapproval","templatecode","templatename","isactive","createdby","createdon","modifiedby","modifiedon"
23,"FOLD","Folding","Sheet folding","1011",23,True,False,False,"P_FOLD","Folding",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
24,"BIND","Binding","Binding operation","1011",24,True,False,False,"P_BIND","Binding",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
25,"TRIM","Final Trim","Final cutting","1011",25,True,False,False,"P_TRIM","Trimming",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
26,"QC_POST","Post Press QC","Final QC after finishing","1016",26,True,True,False,"P_QC_POST","Post QC",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
27,"PACK","Packing","Packing and labeling","1012",27,True,False,False,"P_PACK","Packing",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
28,"LOAD","Loading","Loading goods","1013",28,True,False,False,"P_LOAD","Loading",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
29,"CHALLAN","Delivery Challan","Delivery challan generation","1004",29,True,True,False,"P_CHALLAN","Challan",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
30,"GATE_PASS","Gate Pass","Gate clearance","1018",30,True,True,False,"P_GATE","Gate Pass",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
31,"DISPATCH","Dispatch","Dispatch operation","1013",31,True,False,False,"P_DISPATCH","Dispatch",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
32,"DELIVERY_CONF","Delivery Confirmation","Customer delivery confirmation","1013",32,True,False,True,"P_DELIVERY","Delivery Confirmation",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
33,"BILL","Billing","Invoice generation","1004",33,True,True,True,"P_BILL","Billing",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
34,"PAY_REC","Payment Receipt","Customer payment receipt","1004",34,True,True,False,"P_PAY_REC","Payment Receipt",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
35,"CREDIT_NOTE","Credit Note","Credit adjustment","1004",35,False,True,False,"P_CREDIT","Credit Note",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
36,"DEBIT_NOTE","Debit Note","Debit adjustment","1004",36,False,True,False,"P_DEBIT","Debit Note",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
37,"STORE_RETURN","Material Return","Return unused material","1014",37,False,False,False,"P_RETURN","Material Return",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
38,"WASTE_ENTRY","Wastage Entry","Production wastage record","1014",38,False,False,False,"P_WASTE","Wastage",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
39,"COST_FINAL","Final Costing","Final job costing","1008",39,True,True,False,"P_COST","Final Costing",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
40,"PROFIT_ANALYSIS","Profit Analysis","Job profitability","1004",40,True,False,False,"P_PROFIT","Profit Analysis",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
41,"JOB_CLOSE","Job Closure","Close job","1007",41,True,False,False,"P_CLOSE","Job Close",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
42,"JOB_ARCHIVE","Job Archive","Archive job data","1005",42,True,False,False,"P_ARCHIVE","Archive",True,"SYSTEM","2026-04-13 23:00:16.204967",NULL,"2026-04-13 23:00:16.204967"
